"area_code","area_type","area_name","year","period","type_definition","indicator","numerator","measure","upper_confidence_interval","lower_confidence_interval","data_source"
"S12000005","Council area","Clackmannanshire",2010,"2010/11 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",8285,16.1,16.5,15.8,"Public Health Scotland (Prescribing Information System)"
"S12000005","Council area","Clackmannanshire",2011,"2011/12 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",8727,16.9,17.3,16.6,"Public Health Scotland (Prescribing Information System)"
"S12000005","Council area","Clackmannanshire",2012,"2012/13 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",9099,17.7,18,17.4,"Public Health Scotland (Prescribing Information System)"
"S12000005","Council area","Clackmannanshire",2013,"2013/14 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",9657,18.8,19.1,18.4,"Public Health Scotland (Prescribing Information System)"
"S12000005","Council area","Clackmannanshire",2014,"2014/15 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",10193,19.8,20.2,19.5,"Public Health Scotland (Prescribing Information System)"
"S12000005","Council area","Clackmannanshire",2015,"2015/16 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",10560,20.5,20.8,20.1,"Public Health Scotland (Prescribing Information System)"
"S12000005","Council area","Clackmannanshire",2016,"2016/17 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",10866,21.1,21.4,20.7,"Public Health Scotland (Prescribing Information System)"
"S12000005","Council area","Clackmannanshire",2017,"2017/18 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",11236,21.8,22.1,21.4,"Public Health Scotland (Prescribing Information System)"
"S12000005","Council area","Clackmannanshire",2018,"2018/19 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",11232,21.8,22.1,21.4,"Public Health Scotland (Prescribing Information System)"
"S12000005","Council area","Clackmannanshire",2019,"2019/20 financial year","Percentage","Population prescribed drugs for anxiety/depression/psychosis",11237,21.7,22.1,21.4,"Public Health Scotland (Prescribing Information System)"
