"area_code","area_type","area_name","year","period","indicator","quintile","measure","value","upper_confidence_interval","lower_confidence_interval","label_inequality","data_source"
"S00000001","Scotland","Scotland",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis","1 - most deprived","Percentage",23.5,23.6,23.4,"People","Public Health Scotland (Prescribing Information System)"
"S00000001","Scotland","Scotland",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis","2","Percentage",19.9,20,19.8,"People","Public Health Scotland (Prescribing Information System)"
"S00000001","Scotland","Scotland",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis","3","Percentage",16.7,16.8,16.6,"People","Public Health Scotland (Prescribing Information System)"
"S00000001","Scotland","Scotland",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis","4","Percentage",14.4,14.5,14.4,"People","Public Health Scotland (Prescribing Information System)"
"S00000001","Scotland","Scotland",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis","5 - least deprived","Percentage",12.4,12.4,12.3,"People","Public Health Scotland (Prescribing Information System)"
"S00000001","Scotland","Scotland",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis","Total","Percentage",17.4,17.4,17.3,"People","Public Health Scotland (Prescribing Information System)"
"S00000001","Scotland","Scotland",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Relative index of inequality (RII)",0.8,1,0.6,"People","Public Health Scotland (Prescribing Information System)"
"S00000001","Scotland","Scotland",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Slope index of inequality (SII)",13.9,17,10.8,"People","Public Health Scotland (Prescribing Information System)"
"S00000001","Scotland","Scotland",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Population attributable risk (PAR)",28.9,48.9,31,"People","Public Health Scotland (Prescribing Information System)"
"S00000001","Scotland","Scotland",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis","1 - most deprived","Percentage",24.2,24.3,24.1,"People","Public Health Scotland (Prescribing Information System)"
"S00000001","Scotland","Scotland",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis","2","Percentage",20.5,20.6,20.5,"People","Public Health Scotland (Prescribing Information System)"
"S00000001","Scotland","Scotland",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis","3","Percentage",17.3,17.4,17.3,"People","Public Health Scotland (Prescribing Information System)"
"S00000001","Scotland","Scotland",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis","4","Percentage",15,15.1,14.9,"People","Public Health Scotland (Prescribing Information System)"
"S00000001","Scotland","Scotland",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis","5 - least deprived","Percentage",12.8,12.9,12.7,"People","Public Health Scotland (Prescribing Information System)"
"S00000001","Scotland","Scotland",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis","Total","Percentage",18,18,17.9,"People","Public Health Scotland (Prescribing Information System)"
