"area_code","area_type","area_name","year","period","indicator","quintile","measure","value","upper_confidence_interval","lower_confidence_interval","label_inequality","data_source"
"S12000033","Council area","Aberdeen City",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis","1 - most deprived","Percentage",19.5,20.1,19,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis","2","Percentage",18.3,18.6,17.9,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis","3","Percentage",15.8,16.2,15.4,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis","4","Percentage",13.7,14,13.3,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis","5 - least deprived","Percentage",11.5,11.7,11.3,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis","Total","Percentage",14.6,14.8,14.5,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Relative index of inequality (RII)",0.7,0.9,0.6,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Slope index of inequality (SII)",10.8,12.9,8.6,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2014,"2014/15 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Population attributable risk (PAR)",21.4,44.3,29.4,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis","1 - most deprived","Percentage",20,20.5,19.4,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis","2","Percentage",19,19.4,18.7,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis","3","Percentage",15.7,16.1,15.3,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis","4","Percentage",14.1,14.4,13.7,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis","5 - least deprived","Percentage",11.7,11.9,11.5,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis","Total","Percentage",14.9,15.1,14.8,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Relative index of inequality (RII)",0.8,1,0.5,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Slope index of inequality (SII)",11.3,14.4,8.2,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2015,"2015/16 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Population attributable risk (PAR)",21.8,48.2,27.4,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2016,"2016/17 financial year","Population prescribed drugs for anxiety/depression/psychosis","1 - most deprived","Percentage",20.6,21.2,20.1,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2016,"2016/17 financial year","Population prescribed drugs for anxiety/depression/psychosis","2","Percentage",19.5,19.8,19.1,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2016,"2016/17 financial year","Population prescribed drugs for anxiety/depression/psychosis","3","Percentage",16.3,16.7,15.9,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2016,"2016/17 financial year","Population prescribed drugs for anxiety/depression/psychosis","4","Percentage",14.3,14.6,13.9,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2016,"2016/17 financial year","Population prescribed drugs for anxiety/depression/psychosis","5 - least deprived","Percentage",12.1,12.3,11.9,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2016,"2016/17 financial year","Population prescribed drugs for anxiety/depression/psychosis","Total","Percentage",15.4,15.5,15.2,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2016,"2016/17 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Relative index of inequality (RII)",0.7,1,0.5,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2016,"2016/17 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Slope index of inequality (SII)",11.4,14.6,8.2,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2016,"2016/17 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Population attributable risk (PAR)",21.1,47.5,26.7,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2017,"2017/18 financial year","Population prescribed drugs for anxiety/depression/psychosis","1 - most deprived","Percentage",21.5,22,21,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2017,"2017/18 financial year","Population prescribed drugs for anxiety/depression/psychosis","2","Percentage",19.3,19.6,18.9,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2017,"2017/18 financial year","Population prescribed drugs for anxiety/depression/psychosis","3","Percentage",16,16.4,15.6,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2017,"2017/18 financial year","Population prescribed drugs for anxiety/depression/psychosis","4","Percentage",14.7,15,14.3,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2017,"2017/18 financial year","Population prescribed drugs for anxiety/depression/psychosis","5 - least deprived","Percentage",12.3,12.5,12.1,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2017,"2017/18 financial year","Population prescribed drugs for anxiety/depression/psychosis","Total","Percentage",15.8,15.9,15.6,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2017,"2017/18 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Relative index of inequality (RII)",0.7,0.9,0.6,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2017,"2017/18 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Slope index of inequality (SII)",11.7,14.5,8.9,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2017,"2017/18 financial year","Population prescribed drugs for anxiety/depression/psychosis",NA,"Population attributable risk (PAR)",22,46,28.3,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2018,"2018/19 financial year","Population prescribed drugs for anxiety/depression/psychosis","1 - most deprived","Percentage",21.8,22.3,21.3,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2018,"2018/19 financial year","Population prescribed drugs for anxiety/depression/psychosis","2","Percentage",20,20.3,19.6,"People","Public Health Scotland (Prescribing Information System)"
"S12000033","Council area","Aberdeen City",2018,"2018/19 financial year","Population prescribed drugs for anxiety/depression/psychosis","3","Percentage",16.7,17.1,16.3,"People","Public Health Scotland (Prescribing Information System)"
